1,㈜정성레저,바다,인천광역시 중구 백운로186번길 140-1 (중산동),인천광역시 중구 중산동 1852,37.51420751,126.5436932,032-751-1515,28540,"돔, 점성어",250,없음,"70,000원(성인남성기준)",,구명부환+구명조끼+소화기+구급약품,화장실+매점,,032-760-8948,인천광역시 중구청,2020-09-10
16,어부바낚시까페,기타,"인천광역시 계양구 경명대로 1057, 지층 (계산동)",인천광역시 계양구 계산동 931-58,37.54391304197,126.7245687570,,60.5,"잉어, 붕어",24,고정형,"10,000원",,"구명부환, 구명조끼,소화기, 구급약품","화장실, 분리수거통",,,인천광역시 계양구청,2022-04-19
17,DMZ실내낚시터,기타,"인천광역시 계양구 경명대로 1056, 지층 1호 (계산동)",인천광역시 계양구 계산동 944-9,37.5432864094,126.724138055,070-4118-0702,76.72,"잉어, 붕어",24,고정형,"10,000원",,"구명부환, 구명조끼, 소화기, 구급약품","화장실, 분리수거통",,,인천광역시 계양구청,2022-04-19
18,놀러와실내낚시터,기타,"인천광역시 남동구 백범로 203, 지층 102호(만수동)",인천광역시 남동구 만수동 897-2,37.45945344,126.7261954,,63,붕어,20,고정형,10000,,구명부환+소화기+구급약품,화장실+쓰레기통,,032-453-6083,인천광역시 남동구청,2022-11-22
19,슈퍼붕 낚시카페,기타,"인천광역시 남동구 백범로 417, 지하1층(간석동)",인천광역시 남동구 간석동 238-9,37.4672684,126.7025735,,58,붕어,28,고정형,10000,,구명부환+소화기+구급약품,화장실+쓰레기통,,032-453-6083,인천광역시 남동구청,2022-11-22
20,킹콩 실내낚시터,기타,"인천광역시 남동구 구월로 291, 지하1층(만수동)",인천광역시 남동구 만수동 906-19,37.4558425,126.7207845,,114,붕어,18,고정형,10000,,구명부환+소화기+구급약품,화장실+쓰레기통,,032-453-6083,인천광역시 남동구청,2022-11-22
21,얼빵실내 낚시터,기타,"인천광역시 남동구 인주대로 580, 지하 2층(구월동)",인천광역시 남동구 구월동 1126,37.4497578,126.6991131,,32,붕어,17,고정형,10000,,구명부환+소화기+구급약품,화장실+쓰레기통,,032-453-6083,인천광역시 남동구청,2022-11-22
22,또와또 실내낚시터,기타,인천광역시 남동구 남동대로 881 지하층(간석동),인천광역시 남동구 간석동 284-2,37.4656135,126.707077,,35,붕어,25,고정형,10000,,구명부환+소화기+구급약품,화장실+쓰레기통,,032-453-6083,인천광역시 남동구청,2022-11-22
23,남촌낚시터,기타,인천광역시 남동구 남촌로 67번길 60-3(남촌동),인천광역시 남동구 남촌동 582,37.4266899,126.7128884,,1771,붕어,40,고정형,10000,,구명부환+소화기+구급약품,화장실+쓰레기통,,032-453-6083,인천광역시 남동구청,2022-11-22
24,소래바다낚시터,기타,인천광역시 남동구 소래로 154번길 25-40(논현동),인천광역시 남동구 논현동 33-14,37.40682335,126.7405419,,1857,랍스터,40,고정형,10000,,구명부환+소화기+구급약품,화장실+쓰레기통,,032-453-6083,인천광역시 남동구청,2022-11-22
25,도시어부낚시카페,기타,"인천광역시 미추홀구 주안로104번길 24, 지하2층제2호(주안동)",인천광역시 미추홀구 주안동 143-1,37.46282174,126.6809926,032-442-8678,80,-,80,-,"10,000/시간당",,-,-,,,인천광역시 미추홀구청,2022-11-29
26,파도실내바다낚시터,기타,"인천광역시 미추홀구 인주대로 438, 지하층(주안동)","인천광역시 미추홀구 주안동 1505-2, 지하층",37.45074476,126.6853843,032-889-2020,49.5,-,26,-,"11,000/시간당",,-,-,,,인천광역시 미추홀구청,2022-11-29
27,주주실내낚시클럽,기타,"인천광역시 미추홀구 주안로 113, 덕진빌딩 지하2층 (주안동)",인천광역시 미추홀구 주안동 130-5 덕진빌딩,37.46425733,126.6822339,032-437-1837,77.25,-,30,-,"10,000/시간당",,-,-,,,인천광역시 미추홀구청,2022-11-29
28,황산초지사계절바다낚시터,기타,인천광역시 강화군 길상면,"인천광역시 강화군 길상면 초지리 1325-57, 1325-58-, 1325-59",37.62125051,126.5347876,,850,우럭+광어,70,해당없음,60000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2022-11-30
29,어류정낚시터,저수지,인천광역시 강화군 삼산면,인천광역시 강화군 삼산면 매음리 114-72,37.66107251,126.336902,,135000,붕어+잉어,40,해당없음,20000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2022-11-30
30,강화선두바다낚시터,기타,인천광역시 강화군 길상면,인천광역시 강화군 길상면 선두리 976-20,37.60086755,126.4935967,,8810,우럭+광어,85,해당없음,60000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2022-11-30
31,강화바다낚시터,기타,인천광역시 강화군 길상면,인천광역시 강화군 길상면 장흥리 276-5,37.60690383,126.5168784,,2250,우럭+광어,50,해당없음,60000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2022-11-30
32,난정낚시터,저수지,인천광역시 강화군 교동면,인천광역시 강화군 교동면 난정리 305,37.78689753,126.2320705,,714394,붕어+잉어,125,해당없음,15000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2022-11-30
33,흥왕낚시터,저수지,인천광역시 강화군 화도면,인천광역시 강화군 화도면 흥왕리 1135,37.59560307,126.4203356,,183000,붕어+잉어,60,연안방갈로,30000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2022-11-30
34,길상낚시터,저수지,인천광역시 강화군 길상면,인천광역시 강화군 길상면 장흥리 16,37.62515984,126.5012775,,39200,붕어+잉어,150,잔교형좌대,30000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2022-11-30
35,선두포낚시터,기타,인천광역시 강화군 길상면,인천광역시 강화군 길상면 선두리 1364 외 2,37.634462,126.464612,,86214,붕어+잉어,20,해당없음,10000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2022-11-30
36,하리낚시터,저수지,인천광역시 강화군 삼산면,인천광역시 강화군 삼산면 하리 17-1,37.7404128,126.2899256,,342000,붕어+잉어,50,해당없음,20000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2022-11-30
37,서검낚시터,저수지,인천광역시 강화군 삼산면,인천광역시 강화군 삼산면 서검길 153-18,37.724996,126.226164,,22000,붕어+잉어,20,해당없음,20000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2022-11-30
38,동검낚시터,기타,인천광역시 강화군 길상면,인천광역시 강화군 길상면 동검리 109-1,37.58768059,126.5222735,,25088,우럭+광어,100,해당없음,60000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2022-11-30
39,양오낚시터,저수지,인천광역시 강화군 송해면,인천광역시 강화군 송해면 양오리 10-2,37.80023879,126.4474212,,241771,붕어+잉어,200,"잔교형좌대,연안방갈로",20000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2022-11-30
40,고구낚시터,저수지,인천광역시 강화군 교동면,인천광역시 강화군 교동면 고구리 243 외,37.79635,126.292765,,838000,붕어+잉어,50,해당없음,20000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2022-11-30
41,항포낚시터,저수지,인천광역시 강화군 삼산면,인천광역시 강화군 삼산면 석모리 1148,37.70636707,126.2840291,,528000,붕어+잉어,50,해당없음,20000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2022-11-30
42,양사낚시터,저수지,인천광역시 강화군 양사면,인천광역시 강화군 양사면 덕하리 1278,37.80536372,126.423815,,8357,붕어+잉어,50,해당없음,20000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2022-11-30
43,신선지낚시터,저수지,인천광역시 강화군 내가면,인천광역시 강화군 내가면 고천리 1852-1,37.72045498,126.4152577,,38000,붕어+잉어,80,잔교형좌대,30000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2022-11-30
44,길정낚시터,저수지,인천광역시 강화군 양도면,인천광역시 강화군 양도면 길정리 403-1,37.66259233,126.467195,,497000,붕어+잉어,58,해당없음,20000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2022-11-30
45,오류내낚시터,저수지,인천광역시 강화군 송해면,인천광역시 강화군 송해면 하도리 621,37.75926215,126.4520722,,117700,붕어+잉어,50,해당없음,20000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2022-11-30
46,국화낚시터,저수지,인천광역시 강화군 강화읍,인천광역시 강화군 강화읍 국화리 450,37.74460253,126.4619292,,238400,붕어+잉어,50,연안방갈로,75000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2022-11-30
47,내가낚시터,저수지,인천광역시 강화군 내가면,인천광역시 강화군 내가면 고천리 462,37.72518794,126.3936217,,30000,붕어+잉어,50,연안방갈로,20000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2022-11-30
48,황청낚시터,저수지,인천광역시 강화군 내가면,인천광역시 강화군 내가면 황청리 531,37.71508509,126.3638447,,68000,붕어+잉어,200,잔교형좌대,30000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2022-11-30
49,인산낚시터,저수지,인천광역시 강화군 양도면 중앙로787번길 8-2,인천광역시 강화군 양도면 인산리 105,37.69854279,126.4312672,,139000,붕어+잉어,150,잔교형좌대연안방갈로,20000,,구명조끼+소화기 등,화장실+쓰레기통,,,인천광역시 강화군,2022-11-30
